fname,amine_hole_contri,ald_hole_contri,amine_elec_contri,ald_elec_contri
ald_20_freq_cut_amine_19_freq_cut,2.25%,97.75%,2.1%,97.9%
ald_20_freq_cut_amine_1_freq_cut,-0.22%,100.22%,0.05%,99.95%
ald_20_freq_cut_amine_2_freq_cut,86.96%,13.04%,82.35%,17.65%
ald_20_freq_cut_amine_3_freq_cut,96.14%,3.86%,94.54%,5.46%
ald_20_freq_cut_amine_4_freq_cut,33.17%,66.83%,23.66%,76.34%
ald_20_freq_cut_amine_5_freq_cut,91.5%,8.5%,82.22%,17.78%
ald_20_freq_cut_amine_6_freq_cut,0.01%,99.99%,0.09%,99.91%
ald_20_freq_cut_amine_7_freq_cut,86.05%,13.95%,84.39%,15.61%
ald_20_freq_cut_amine_8_freq_cut,95.09%,4.91%,93.26%,6.74%
ald_20_freq_cut_amine_9_freq_cut,0.25%,99.75%,0.17%,99.83%
ald_21_freq_cut_amine_0_freq_cut,0.17%,99.83%,0.14%,99.86%
ald_21_freq_cut_amine_10_freq_cut,5.83%,94.17%,5.86%,94.14%
ald_21_freq_cut_amine_11_freq_cut,-0.11%,100.11%,0.06%,99.94%
ald_21_freq_cut_amine_12_freq_cut,0.18%,99.82%,0.23%,99.77%
ald_21_freq_cut_amine_13_freq_cut,0.03%,99.97%,0.21%,99.79%
ald_21_freq_cut_amine_14_freq_cut,0.21%,99.79%,0.06%,99.94%
ald_21_freq_cut_amine_15_freq_cut,0.19%,99.81%,0.03%,99.97%
ald_21_freq_cut_amine_16_freq_cut,0.22%,99.78%,0.1%,99.9%
ald_21_freq_cut_amine_17_freq_cut,0.07%,99.93%,0.19%,99.81%
ald_21_freq_cut_amine_18_freq_cut,9.08%,90.92%,9.15%,90.85%
ald_21_freq_cut_amine_19_freq_cut,0.08%,99.92%,0.19%,99.81%
ald_21_freq_cut_amine_1_freq_cut,0.15%,99.85%,0.15%,99.85%
ald_21_freq_cut_amine_2_freq_cut,4.68%,95.32%,4.1%,95.9%
ald_21_freq_cut_amine_3_freq_cut,89.28%,10.72%,87.34%,12.66%
ald_21_freq_cut_amine_4_freq_cut,0.23%,99.77%,0.28%,99.72%
ald_21_freq_cut_amine_5_freq_cut,0.03%,99.97%,0.05%,99.95%
ald_21_freq_cut_amine_6_freq_cut,0.25%,99.75%,0.08%,99.92%
ald_21_freq_cut_amine_7_freq_cut,0.07%,99.93%,0.08%,99.92%
ald_21_freq_cut_amine_8_freq_cut,-0.1%,100.1%,0.14%,99.86%
ald_21_freq_cut_amine_9_freq_cut,0.22%,99.78%,0.1%,99.9%
ald_22_freq_cut_amine_0_freq_cut,0.23%,99.77%,0.25%,99.75%
ald_22_freq_cut_amine_10_freq_cut,0.3%,99.7%,0.01%,99.99%
ald_22_freq_cut_amine_11_freq_cut,0.15%,99.85%,0.22%,99.78%
ald_22_freq_cut_amine_12_freq_cut,0.27%,99.73%,0.06%,99.94%
ald_22_freq_cut_amine_13_freq_cut,0.08%,99.92%,0.09%,99.91%
ald_22_freq_cut_amine_14_freq_cut,0.3%,99.7%,0.03%,99.97%
ald_22_freq_cut_amine_15_freq_cut,0.31%,99.69%,0.22%,99.78%
ald_22_freq_cut_amine_16_freq_cut,0.16%,99.84%,0.09%,99.91%
ald_22_freq_cut_amine_17_freq_cut,0.14%,99.86%,0.11%,99.89%
